"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","369","test_tree_plot_default","packages.plot.tests","Sun Apr 19 10:51:15 UTC 2026","passed","Sun Apr 19 10:51:16 UTC 2026","","test_tree_plot","",""
"Test if smina binary is executable and returns help.","0","test_smina_executable","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_docker_engines","",""
"","127","test_bar_plot_sd","packages.plot.tests","Sun Apr 19 10:50:49 UTC 2026","passed","Sun Apr 19 10:50:49 UTC 2026","","test_bar","",""
"Test preparing a receptor from CIF format (Real integration test).","31280","test_prepare_receptor_cif","packages.docking.tests","Sun Apr 19 10:49:46 UTC 2026","passed","Sun Apr 19 10:50:17 UTC 2026","","test_prep","",""
"","2848","test_msa_plot_wrap_by_bases_per_line","packages.plot.tests","Sun Apr 19 10:51:02 UTC 2026","passed","Sun Apr 19 10:51:05 UTC 2026","","test_msa_plot","",""
"","474","test_chromosome_plot_generation","packages.plot.tests","Sun Apr 19 10:50:50 UTC 2026","passed","Sun Apr 19 10:50:51 UTC 2026","","test_chromosome","",""
"Test that initialization fails if smina is missing.","2","test_initialization_fail_if_missing","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","skipped","Sun Apr 19 10:50:48 UTC 2026","TestSminaEngine","test_smina","",""
"","180","test_box_plot_significance","packages.plot.tests","Sun Apr 19 10:50:49 UTC 2026","passed","Sun Apr 19 10:50:50 UTC 2026","","test_box","",""
"","247","test_pca_custom_style","packages.plot.tests","Sun Apr 19 10:50:53 UTC 2026","passed","Sun Apr 19 10:50:54 UTC 2026","","test_customization","",""
"","510","test_heatmap_plot_generation","packages.plot.tests","Sun Apr 19 10:50:55 UTC 2026","passed","Sun Apr 19 10:50:55 UTC 2026","","test_heatmap","",""
"","2","test_load_theme_from_py_file","packages.plot.tests","Sun Apr 19 10:50:53 UTC 2026","passed","Sun Apr 19 10:50:53 UTC 2026","","test_custom_theme","",""
